ranking,titulo,sinopse,faturamento_bruto_mundial,generos,data_lancamento,duracao_minutos,proporcao,url
1,Project Hail Mary,"Not if Ken and a weird rock creature have anything to say about that!Yeah I've pretty much become numb to science fiction stories nowadays, and personally I blame the Star Wars franchise for that. How are we supposed to care about plots that represent the inherent humanity of characters when they're stuck inside such generic, contrived takes on what should be fantastical worlds beyond imagination??That's where Project Hail Mary shines, because it is a deeply human story that embraces the flaws of human error, biology, loneliness and mortality that just so happens to have sci-fi elements. Perhaps it runs maybe 20 minutes too long and there are a few eye-rolling moments, but the movie compensates for that with some of the greatest cinematography I've witnessed on the big screen in a hot minute, to the point where the camera is easily its own character.Lord and Miller got to make their own Han Solo film after all. There is hope yet for the world.","$583,609,776",,"March 20, 2026 (United States)",156,2.00 : 1,https://www.imdb.com/title/tt12042730/?ref_=chtmvm_i_1
2,Lee Cronin's The Mummy,"I went to watch the 2026 horror movie ""The Mummy"" yesterday, and must admit that I did harbor some expectations to the movie, especially given the movie's title.However, writer and director Lee Cronin delivered a movie that wasn't an archetypical mummy-themed movie. And that was a bit of a disappointment to me. Not the movie was bad or anything, because it certainly wasn't, but I had expected something else.The storyline in ""The Mummy"" was fairly good and pretty straightforward, though it had some massive plot holes that didn't always make much of any sense.The acting performances in the movie were good. I wasn't familiar with the cast ensemble in the movie, and that certainly spoke in overall favor of ""The Mummy"", as I do enjoy watching new and unfamiliar talents on the screen.Something that definitely carried the movie a great long way was the special effects. I like the practical and CGI effects in the movie, as they helped bring the movie to life in a believable manner, and it looked good.If you enjoy a horror movie that doesn't really require much audience participation, then ""The Mummy"" is something for you. It certainly was a watchable movie, though I doubt I will ever pick it up a second time.My rating of writer and director Lee Cronin's 2026 movie ""The Mummy"" lands on a six out of ten stars.","$53,571,688",Horror,"April 17, 2026 (United States)",134,2.39 : 1,https://www.imdb.com/title/tt32612507/?ref_=chtmvm_i_2
3,Street Fighter,"FromA Minecraft MovieandThe Super Mario Galaxy MovietoFive Nights at Freddy's 2, see how IMDb users ranked these 50+ video game movie adaptations.",,"Action, Drama","October 16, 2026 (United States)",,2.39 : 1,https://www.imdb.com/title/tt27419420/?ref_=chtmvm_i_3
4,Thrash,"Tommy Wirkola sure knows how to sprinkle dark comedy in a survival-horror / creature-feature mash-up. Those really are the ""moments"" that work in a largely emotionless flick with set-pieces that were handled better in Alexandre Aja's Crawl. Wirkola hasn't made big strides since his two Dead Snow flicks, with Violent Night being one of his better recent efforts. This NETFLIX film has a pretty good cast, featuring names such as Phoebe Dynevor, Djimon Hounsou, and Alyla Browne, and there's a decent bit of initial setup. However, the writing becomes too convenient in the third act, with plot armour and plot holes aplenty. The reason we tend to notice them despite the thick dark humour coating is that the film is short, and still the stakes somehow stop mattering after the first act.There's the expected gore, but with characters written too thin and superficial, everyone boils down to shark bait. But we know the ""leading"" women and kids get plot armour despite the number of perilous situations they keep finding themselves in. The only good (and practical) male presence is that of Hounsou's, and he gets about 10-12 minutes overall. I'm all for Phoebe Dynevor kicking some (shark) ass, but boy did they take that too damn far in this one. Most of the proceedings are played for silly laughs, undercutting any real tension the plot has built up. It's still watchable by all means, though that's a bare minimum for a craftsman like Wirkola.",,"Horror, Thriller","April 10, 2026 (United States)",86,2.39:1,https://www.imdb.com/title/tt32362890/?ref_=chtmvm_i_4
